"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG_J","BZG_M","Beschaeftigungsart","Arbeitszeitmodell","Gehalt","Position_im_Unternehmen","Remotarbeit","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","ZE01","ZE04","TIME_SUM","TIME_RSI","IS_mean","IS_K_mean","IS_E_mean","CPE_mean","CPE_C_mean","CPE_I_mean","CPE_M_mean","CPE_E_mean","PS_mean","OC_A_mean","QQ_Anand_mean","QQ_Eigene_mean","QQ_Gesamt_mean","SL_mean"
"1",1,57,1,7,NA,0,10,2,40,7,4,2,4,1,3,2,1,2,2,1,1,521,0.99,3.5,3.75,3.25,4.3125,4.75,4.5,4.5,3.5,5.14285714285714,3.8,2,2.14285714285714,2.07142857142857,4.42857142857143
"2",2,52,2,6,NA,26,8,2,35,4,1,4,4,1,1,2,2,1,2,1,1,798,0.58,3.75,4,3.5,4,4.5,4,3.5,4,6.42857142857143,3.4,1.85714285714286,1.85714285714286,1.85714285714286,5.57142857142857
"3",3,25,2,6,NA,2,3,1,14,1,1,3,4,3,3,5,3,4,5,1,1,543,1.54,1.625,1.5,1.75,5.125,5.25,4.75,5.25,5.25,6.42857142857143,3.2,3,3.85714285714286,3.42857142857143,4.42857142857143
"4",4,27,1,5,NA,4,0,2,38,3,1,1,3,2,3,2,2,2,2,1,1,756,0.79,3,3.75,2.25,6.3125,6.25,6,6.25,6.75,6,4.2,1.85714285714286,2.28571428571429,2.07142857142857,5.42857142857143
"5",5,30,1,7,NA,6,9,2,40,2,1,3,3,1,1,2,1,2,2,1,1,384,1.52,3.25,3.5,3,3.8125,4,3.75,3.75,3.75,5.85714285714286,4.6,1.57142857142857,1.71428571428571,1.64285714285714,3.85714285714286
"6",6,46,1,5,NA,15,11,2,40,4,3,1,1,1,2,1,1,1,1,1,1,619,1.08,2.375,3.25,1.5,6.0625,6.25,6.75,5.5,5.75,6.71428571428571,4.8,1.57142857142857,1.14285714285714,1.35714285714286,5.14285714285714
"7",7,27,1,5,NA,6,9,2,39,3,1,1,1,1,2,3,1,2,4,1,1,622,0.93,1.875,1.5,2.25,2.875,2.5,4,3,2,2.85714285714286,1.2,3.71428571428571,2,2.85714285714286,2
"8",8,63,1,6,NA,41,6,2,39,7,1,1,5,1,1,2,1,1,2,1,1,733,0.49,3.5,5.5,1.5,3.25,1.75,4.5,2.75,4,5.14285714285714,3.6,2.14285714285714,1.85714285714286,2,3
"9",9,27,1,9,"2. Staatsexamen",4,0,2,40,4,1,1,4,2,2,2,2,1,2,1,1,616,1.04,2.875,2.25,3.5,4.5,6,5.25,3.75,3,5.42857142857143,3,2.57142857142857,2.14285714285714,2.35714285714286,4.71428571428571
"10",10,26,1,4,NA,1,1,1,12.5,1,1,6,2,4,4,2,5,1,2,1,1,701,0.99,2.5,1.75,3.25,5.125,5.5,5,4.25,5.75,6.42857142857143,3.2,3.14285714285714,2.85714285714286,3,4.28571428571429
"11",11,25,1,4,NA,1,2,1,15,1,1,1,3,2,2,2,3,3,2,1,1,740,0.89,2.875,2.75,3,4.8125,4.75,4.5,4.75,5.25,5.42857142857143,3.8,2.85714285714286,2.42857142857143,2.64285714285714,4.57142857142857
"12",12,27,1,6,NA,0,4,1,35,2,1,4,4,2,2,4,1,2,2,1,1,534,1.29,3.125,4.5,1.75,6.1875,7,6.25,5.5,6,6.57142857142857,4.2,2,2.42857142857143,2.21428571428571,6.57142857142857
"13",13,42,2,6,NA,24,10,2,16,2,3,1,4,1,1,1,1,1,2,1,1,393,1.38,5.5,5.75,5.25,6,6.5,6,5.75,5.75,4.57142857142857,4,1.57142857142857,1.57142857142857,1.57142857142857,5.71428571428571
"14",14,34,2,7,NA,2,4,2,40,5,2,6,3,2,2,3,1,1,1,1,1,477,1.18,4,4.75,3.25,6.5625,6.75,6.5,6.25,6.75,6.71428571428571,3.6,1.57142857142857,1.85714285714286,1.71428571428571,6.14285714285714
"15",15,26,2,2,NA,0,1,1,20,1,1,1,3,4,2,3,4,5,4,1,1,146,2.65,4.125,4,4.25,5.1875,5,5.25,5,5.5,3.85714285714286,3.8,3,3.57142857142857,3.28571428571429,4.14285714285714
"16",16,61,2,3,NA,23,3,2,22.5,2,1,1,2,1,2,2,1,1,3,1,1,706,0.88,3.25,3.25,3.25,3.5625,3.25,4.25,3.75,3,5.42857142857143,3.2,2.57142857142857,1.71428571428571,2.14285714285714,3.14285714285714
